,SubjectID,context,speaker,meanACC,meanRT,Hits,FAlarms,miss,cr,n,pH,pFA,dprime,pair,pu,vvl,cloze
128,201,Medial,L2,0.911764706,928.3676471,6,0,3,25,34,0.666666667,0.0135,2.642245108,Hz,control,ccontrol,0.25
129,201,Medial,L2,0.857142857,860.8621429,0,0,4,24,28,0.125,0.0135,1.061168429,hH,control,ccontrol,0.25
130,201,Medial,L2,0.90625,991.679375,4,0,3,25,32,0.571428571,0.0135,2.391530179,qs,control,ccontrol,0.25
131,201,Final,L2,0.970588235,876.0491176,4,0,1,29,34,0.8,0.0135,3.053139043,qs,control,ccontrol,0.25
132,201,Final,L2,0.9375,956.935,3,1,1,27,32,0.75,0.035714286,2.477232841,Hs,control,ccontrol,0.25
133,201,Medial,L2,0.806451613,1008.113871,3,1,5,22,31,0.375,0.043478261,1.393035943,Az,control,ccontrol,0.25
134,201,Medial,L2,0.875,885.7615625,0,4,0,28,32,NA,0.125,NA,Hx,control,voiceless,0.25
135,201,Medial,L2,0.9375,968.8528125,3,1,1,27,32,0.75,0.035714286,2.477232841,sx,control,ccontrol,0.25
136,201,Medial,L2,0.838709677,992.5577419,4,0,5,22,31,0.444444444,0.0135,2.07180751,Rs,control,ccontrol,0.25
137,201,Final,L2,0.823529412,981.6711765,4,0,6,24,34,0.4,0.0135,1.958170706,Rs,control,ccontrol,0.25
138,201,Medial,L2,0.8,923.9586667,2,0,6,22,30,0.25,0.0135,1.537028059,hq,control,ccontrol,0.25
139,201,Medial,L2,0.90625,967.2903125,3,1,2,26,32,0.6,0.037037037,2.039502664,qx,control,ccontrol,0.25
140,201,Final,L2,0.833333333,1032.8625,0,4,2,30,36,0.125,0.117647059,0.036482052,hx,control,ccontrol,0.25
141,201,Final,L2,0.805555556,969.9511111,4,0,7,25,36,0.363636364,0.0135,1.862762114,qR,control,ccontrol,0.25
142,201,Final,L2,0.911764706,1037.937353,6,0,3,25,34,0.666666667,0.0135,2.642245108,Hz,control,ccontrol,0.25
143,201,Medial,L2,0.766666667,902.8283333,2,0,7,21,30,0.222222222,0.0135,1.446808135,hz,control,ccontrol,0.25
144,201,Final,L2,0.9375,1061.492813,2,0,2,28,32,0.5,0.0135,2.211517809,hz,control,ccontrol,0.25
145,201,Final,L2,0.928571429,1004.66,0,0,1,13,14,0.125,0.0135,1.061168429,Hr,control,ccontrol,0.25
146,201,Final,L2,0.911764706,936.1252941,3,1,2,28,34,0.6,0.034482759,2.071992696,Hq,control,ccontrol,0.25
147,201,Medial,L2,0.8125,909.26875,3,1,5,23,32,0.375,0.041666667,1.413025032,hs,control,ccontrol,0.25
148,201,Final,L2,0.941176471,983.1408824,2,2,0,30,34,0.875,0.0625,2.684469925,hs,control,ccontrol,0.25
149,201,Medial,L2,0.96875,924.4696875,4,0,1,27,32,0.8,0.0135,3.053139043,Hs,control,ccontrol,0.25
150,201,Final,L2,0.882352941,1046.77,3,1,3,27,34,0.5,0.035714286,1.802743091,Hx,control,voiceless,0.25
151,201,Medial,L2,0.911764706,957.49,5,1,2,26,34,0.714285714,0.037037037,2.352104383,Hq,control,ccontrol,0.25
