"","SubjectID","context","phoneme_pair","max"
"2073",219,"F","Hz",6
"2074",219,"F","qq",16
"2075",219,"F","qR",4
"2076",219,"F","qs",4
"2077",219,"F","qx",4
"2078",219,"F","qz",4
"2079",219,"F","RR",16
"2080",219,"F","Rs",4
"2081",219,"F","Rx",4
"2082",219,"F","Rz",4
"2083",219,"F","ss",14
"2084",219,"F","sx",4
"2085",219,"F","sz",4
"2086",219,"F","xx",16
"2087",219,"F","xz",4
"2088",219,"F","zz",14
"2089",219,"I","AA",12
"2090",219,"I","Ah",4
"2091",219,"I","AH",4
"2092",219,"I","Aq",4
"2093",219,"I","AR",4
"2094",219,"I","As",4
"2095",219,"I","Ax",4
"2096",219,"I","Az",4
"2097",219,"I","hh",12
"2098",219,"I","hH",4
"2099",219,"I","HH",14
"2100",219,"I","hq",2
"2101",219,"I","Hq",6
"2102",219,"I","hR",4
"2103",219,"I","HR",4
"2104",219,"I","hs",4
"2105",219,"I","Hs",4
"2106",219,"I","hx",4
"2107",219,"I","Hx",4
"2108",219,"I","hz",2
"2109",219,"I","Hz",6
"2110",219,"I","qq",12
"2111",219,"I","qR",4
"2112",219,"I","qs",4
"2113",219,"I","qx",4
"2114",219,"I","qz",4
"2115",219,"I","RR",12
"2116",219,"I","Rs",4
"2117",219,"I","Rx",4
"2118",219,"I","Rz",4
"2119",219,"I","ss",14
"2120",219,"I","sx",4
"2121",219,"I","sz",4
"2122",219,"I","xx",12
"2123",219,"I","xz",4
"2124",219,"I","zz",14
"2125",219,"M","AA",14
"2126",219,"M","Ah",4
"2127",219,"M","AH",4
"2128",219,"M","Aq",4
"2129",219,"M","AR",4
"2130",219,"M","As",4
"2131",219,"M","Ax",4
"2132",219,"M","Az",4
"2133",219,"M","hh",14
"2134",219,"M","hH",4
"2135",219,"M","HH",14
"2136",219,"M","hq",2
"2137",219,"M","Hq",6
"2138",219,"M","hR",4
"2139",219,"M","HR",4
"2140",219,"M","hs",4
"2141",219,"M","Hs",4
"2142",219,"M","hx",4
"2143",219,"M","Hx",4
"2144",219,"M","hz",2
"2145",219,"M","Hz",6
"2146",219,"M","qq",14
"2147",219,"M","qR",4
"2148",219,"M","qs",4
"2149",219,"M","qx",4
"2150",219,"M","qz",4
"2151",219,"M","RR",14
"2152",219,"M","Rs",4
"2153",219,"M","Rx",4
"2154",219,"M","Rz",4
"2155",219,"M","ss",14
"2156",219,"M","sx",4
"2157",219,"M","sz",4
"2158",219,"M","xx",14
"2159",219,"M","xz",4
"2160",219,"M","zz",14
"2161",251,"F","AA",16
"2162",251,"F","Ah",4
"2163",251,"F","AH",4
"2164",251,"F","Aq",4
"2165",251,"F","AR",4
"2166",251,"F","As",4
"2167",251,"F","Ax",4
"2168",251,"F","Az",4
"2169",251,"F","hh",16
"2170",251,"F","hH",4
"2171",251,"F","HH",14
"2172",251,"F","hq",4
"2173",251,"F","Hq",4
"2174",251,"F","hR",2
"2175",251,"F","HR",6
"2176",251,"F","hs",4
"2177",251,"F","Hs",4
"2178",251,"F","hx",4
"2179",251,"F","Hx",4
"2180",251,"F","hz",2
"2181",251,"F","Hz",6
"2182",251,"F","qq",16
"2183",251,"F","qR",4
"2184",251,"F","qs",4
"2185",251,"F","qx",4
"2186",251,"F","qz",4
"2187",251,"F","RR",16
"2188",251,"F","Rs",4
"2189",251,"F","Rx",4
"2190",251,"F","Rz",4
"2191",251,"F","ss",14
"2192",251,"F","sx",4
"2193",251,"F","sz",4
"2194",251,"F","xx",16
"2195",251,"F","xz",4
"2196",251,"F","zz",14
"2197",251,"I","AA",12
"2198",251,"I","Ah",4
"2199",251,"I","AH",4
"2200",251,"I","Aq",4
"2201",251,"I","AR",4
"2202",251,"I","As",4
"2203",251,"I","Ax",4
"2204",251,"I","Az",4
"2205",251,"I","hh",12
"2206",251,"I","hH",4
"2207",251,"I","HH",14
"2208",251,"I","hq",2
"2209",251,"I","Hq",6
"2210",251,"I","hR",4
"2211",251,"I","HR",4
"2212",251,"I","hs",4
"2213",251,"I","Hs",4
"2214",251,"I","hx",4
"2215",251,"I","Hx",4
"2216",251,"I","hz",2
"2217",251,"I","Hz",6
"2218",251,"I","qq",12
"2219",251,"I","qR",4
"2220",251,"I","qs",4
"2221",251,"I","qx",4
"2222",251,"I","qz",4
"2223",251,"I","RR",12
"2224",251,"I","Rs",4
"2225",251,"I","Rx",4
"2226",251,"I","Rz",4
"2227",251,"I","ss",14
"2228",251,"I","sx",4
"2229",251,"I","sz",4
"2230",251,"I","xx",12
"2231",251,"I","xz",4
"2232",251,"I","zz",14
"2233",251,"M","AA",14
"2234",251,"M","Ah",4
"2235",251,"M","AH",4
"2236",251,"M","Aq",4
"2237",251,"M","AR",4
"2238",251,"M","As",4
"2239",251,"M","Ax",4
"2240",251,"M","Az",4
"2241",251,"M","hh",14
"2242",251,"M","hH",4
"2243",251,"M","HH",14
"2244",251,"M","hq",2
"2245",251,"M","Hq",6
"2246",251,"M","hR",4
"2247",251,"M","HR",4
"2248",251,"M","hs",4
"2249",251,"M","Hs",4
"2250",251,"M","hx",4
"2251",251,"M","Hx",4
"2252",251,"M","hz",2
"2253",251,"M","Hz",6
"2254",251,"M","qq",14
"2255",251,"M","qR",4
"2256",251,"M","qs",4
"2257",251,"M","qx",4
"2258",251,"M","qz",4
"2259",251,"M","RR",14
"2260",251,"M","Rs",4
"2261",251,"M","Rx",4
"2262",251,"M","Rz",4
"2263",251,"M","ss",14
"2264",251,"M","sx",4
"2265",251,"M","sz",4
"2266",251,"M","xx",14
"2267",251,"M","xz",4
"2268",251,"M","zz",14
"2269",252,"F","AA",16
"2270",252,"F","Ah",4
"2271",252,"F","AH",4
"2272",252,"F","Aq",4
"2273",252,"F","AR",4
"2274",252,"F","As",4
"2275",252,"F","Ax",4
"2276",252,"F","Az",4
"2277",252,"F","hh",16
"2278",252,"F","hH",4
"2279",252,"F","HH",14
"2280",252,"F","hq",4
"2281",252,"F","Hq",4
"2282",252,"F","hR",2
"2283",252,"F","HR",6
"2284",252,"F","hs",4
"2285",252,"F","Hs",4
"2286",252,"F","hx",4
"2287",252,"F","Hx",4
"2288",252,"F","hz",2
"2289",252,"F","Hz",6
"2290",252,"F","qq",16
"2291",252,"F","qR",4
"2292",252,"F","qs",4
"2293",252,"F","qx",4
"2294",252,"F","qz",4
"2295",252,"F","RR",16
"2296",252,"F","Rs",4
"2297",252,"F","Rx",4
"2298",252,"F","Rz",4
"2299",252,"F","ss",14
"2300",252,"F","sx",4
"2301",252,"F","sz",4
"2302",252,"F","xx",16
"2303",252,"F","xz",4
"2304",252,"F","zz",14
"2305",252,"I","AA",12
"2306",252,"I","Ah",4
"2307",252,"I","AH",4
"2308",252,"I","Aq",4
"2309",252,"I","AR",4
"2310",252,"I","As",4
"2311",252,"I","Ax",4
"2312",252,"I","Az",4
"2313",252,"I","hh",12
"2314",252,"I","hH",4
"2315",252,"I","HH",14
"2316",252,"I","hq",2
"2317",252,"I","Hq",6
"2318",252,"I","hR",4
"2319",252,"I","HR",4
"2320",252,"I","hs",4
"2321",252,"I","Hs",4
"2322",252,"I","hx",4
"2323",252,"I","Hx",4
"2324",252,"I","hz",2
"2325",252,"I","Hz",6
"2326",252,"I","qq",12
"2327",252,"I","qR",4
"2328",252,"I","qs",4
"2329",252,"I","qx",4
"2330",252,"I","qz",4
"2331",252,"I","RR",12
"2332",252,"I","Rs",4
"2333",252,"I","Rx",4
"2334",252,"I","Rz",4
"2335",252,"I","ss",14
"2336",252,"I","sx",4
"2337",252,"I","sz",4
"2338",252,"I","xx",12
"2339",252,"I","xz",4
"2340",252,"I","zz",14
"2341",252,"M","AA",14
"2342",252,"M","Ah",4
"2343",252,"M","AH",4
"2344",252,"M","Aq",4
"2345",252,"M","AR",4
"2346",252,"M","As",4
"2347",252,"M","Ax",4
"2348",252,"M","Az",4
"2349",252,"M","hh",14
"2350",252,"M","hH",4
"2351",252,"M","HH",14
"2352",252,"M","hq",2
"2353",252,"M","Hq",6
"2354",252,"M","hR",4
"2355",252,"M","HR",4
"2356",252,"M","hs",4
"2357",252,"M","Hs",4
"2358",252,"M","hx",4
"2359",252,"M","Hx",4
"2360",252,"M","hz",2
"2361",252,"M","Hz",6
"2362",252,"M","qq",14
"2363",252,"M","qR",4
"2364",252,"M","qs",4
"2365",252,"M","qx",4
"2366",252,"M","qz",4
"2367",252,"M","RR",14
"2368",252,"M","Rs",4
"2369",252,"M","Rx",4
"2370",252,"M","Rz",4
"2371",252,"M","ss",14
"2372",252,"M","sx",4
"2373",252,"M","sz",4
"2374",252,"M","xx",14
"2375",252,"M","xz",4
"2376",252,"M","zz",14
"2377",253,"F","AA",16
"2378",253,"F","Ah",4
